SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_024713935.1_ASM2471393v1,Morchella septimelata,2015-9hao,PRJNA635772,1174676,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella septimelata,fFUN1201
GCF_020137385.1_ASM2013738v1,Morchella sextelata,SCLS,PRJNA655985,1174677,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sextelata,fH6S33
GCA_024521645.1_Morsny1,Morchella snyderi,CBS 144464,PRJNA463279,1174678,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella snyderi,fDFP73
GCA_024713685.1_ASM2471368v1,Morchella sp. 2014-9hei,2014-9hei,PRJNA635772,2944688,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2014-9hei,fFUN1202
GCA_024713845.1_ASM2471384v1,Morchella sp. 2015-Win8,2015-Win8,PRJNA635772,2944694,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2015-Win8,fFUN1203
GCA_024713795.1_ASM2471379v1,Morchella sp. 2015-shanyang,2015-shanyang,PRJNA635772,2944693,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2015-shanyang,fFUN1204
GCA_024713925.1_ASM2471392v1,Morchella sp. 2016-103,2016-103,PRJNA635772,2944697,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-103,fFUN1205
GCA_024713855.1_ASM2471385v1,Morchella sp. 2016-41,2016-41,PRJNA635772,2944695,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-41,fFUN1206
GCA_024713775.1_ASM2471377v1,Morchella sp. 2016-50,2016-50,PRJNA635772,2944692,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-50,fFUN1207
GCA_024713875.1_ASM2471387v1,Morchella sp. 2016-57,2016-57,PRJNA635772,2944696,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-57,fFUN1208
GCA_024713865.1_ASM2471386v1,Morchella sp. 2016-72,2016-72,PRJNA635772,2944893,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2016-72,fFUN1209
GCA_024713755.1_ASM2471375v1,Morchella sp. 2018-W16,2018-W16,PRJNA635772,2944690,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W16,fFUN1210
GCA_024713675.1_ASM2471367v1,Morchella sp. 2018-W22B,2018-W22B,PRJNA635772,2944687,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W22B,fFUN1211
GCA_024713715.1_ASM2471371v1,Morchella sp. 2018-W26,2018-W26,PRJNA635772,2944689,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W26,fFUN1212
GCA_024713625.1_ASM2471362v1,Morchella sp. 2018-W30,2018-W30,PRJNA635772,2944895,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W30,fFUN1213
GCA_024713705.1_ASM2471370v1,Morchella sp. 2018-W38C,2018-W38C,PRJNA635772,2944894,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W38C,fFUN1214
GCA_024713785.1_ASM2471378v1,Morchella sp. 2018-W45,2018-W45,PRJNA635772,2944691,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. 2018-W45,fFUN1215
GCA_013407065.1_ASM1340706v1,Morchella sp. a71,a71,PRJNA591407,2678603,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Morchella,Morchella sp. a71,fGMZ02
GCA_029449245.1_ASM2944924v1,Mortierella alpina,CGMCC 20262,PRJNA855440,64518,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella alpina,fNLI97
GCA_015849325.1_UCR_MspKOD1229_1.0,Mortierella antarctica,KOD1229,PRJNA340822,979670,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella antarctica,fBGZ75
GCA_022750515.1_UCR_MspNRRL2760_1.0,Mortierella claussenii,NRRL 2760,PRJNA500529,1343614,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella claussenii,fEDD11
GCA_015680625.1_UCR_MhylaNRRL2591_1.0,Mortierella hygrophila,NRRL 2591,PRJNA499664,979708,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella hygrophila,fEC957
GCA_016098165.1_UCR_MpolyKOD948_1.0,Mortierella polycephala,KOD948,PRJNA340858,41804,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella polycephala,fBG011
GCA_015502465.1_UCR_Msp14UC_1.0,Mortierella sp. 14UC,14UC,PRJNA340477,1896178,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. 14UC,fBGW39
GCA_015502575.1_UCR_MspAD010_1.0,Mortierella sp. AD010,AD010,PRJNA340560,1896179,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. AD010,fBGX20
GCA_015679695.1_UCR_MspAD011_1.0,Mortierella sp. AD011,AD011,PRJNA340561,1896180,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. AD011,fBGX21
GCA_015502475.1_UCR_MspAD031_1.0,Mortierella sp. AD031,AD031,PRJNA340563,1896182,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. AD031,fBGX23
GCA_016098025.1_UCR_MspAD032_1.0,Mortierella sp. AD032,AD032,PRJNA340564,1896183,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. AD032,fBGX24
GCA_015679545.1_UCR_MspAD094_1.0,Mortierella sp. AD094,AD094,PRJNA340566,1896185,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. AD094,fBGX26
GCA_015502455.1_UCR_MspAM989,Mortierella sp. AM989,AM989,PRJNA340567,1896186,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. AM989,fBGX27
GCA_011634665.1_ASM1163466v1,Mortierella sp. BCC40632,BCC40632,PRJNA565861,2613877,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. BCC40632,fOMort
GCA_016098035.1_UCR_MspGBA30_1.0,Mortierella sp. GBA30,GBA30,PRJNA340568,1896187,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. GBA30,fBGX28
GCA_015502445.1_UCR_MspGBA35_1.0,Mortierella sp. GBA35,GBA35,PRJNA340569,1896188,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. GBA35,fBGX29
GCA_015502485.1_UCR_MspGBA39_1.0,Mortierella sp. GBA39,GBA39,PRJNA340570,1896189,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. GBA39,fBGX30
GCA_016098045.1_UCR_MspGBA43_1.0,Mortierella sp. GBA43,GBA43,PRJNA340571,1896190,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. GBA43,fBGX31
GCA_025330735.1_MorGBAus27b_1,Mortierella sp. GBAus27b,GBAus27b,PRJNA697205,1954212,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. GBAus27b,fB0O80
GCA_016098085.1_UCR_MspNVP41_1.0,Mortierella sp. NVP41,NVP41,PRJNA340573,1896192,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. NVP41,fBGX33
GCA_015679515.1_UCR_MspNVP85_1.0,Mortierella sp. NVP85,NVP85,PRJNA340574,1896193,mucoromycota,Mucoromycota,,Mortierellomycetes,,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp. NVP85,fBGX34
GCA_039545235.1_JCM_1775_assembly_v001,Mrakia aquatica,JCM 1775,PRJDB3647,752004,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia aquatica,fFUN1216
GCA_000950635.1_ASM95063v1,Mrakia blollopis,SK-4,PRJDB3253,696254,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia blollopis,fFUN1217
GCA_001600395.1_JCM_7857_assembly_v001,Mrakia frigida,JCM 7857,PRJDB3713,29902,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia frigida,fFUN1218
GCA_024345305.1_MgelidaMGH-2_01,Mrakia gelida,MGH-2,PRJDB13796,105766,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia gelida,fFUN1219
GCA_036245725.1_ASM3624572v1,Mrakia hoshinonis,JCM 32575,PRJDB16469,2692146,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia hoshinonis,fFUN1220
GCA_001889225.1_MPSYv1,Mrakia psychrophila,NN053900,PRJNA304674,72568,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia psychrophila,fATZ32
GCA_020087025.1_ASM2008702v1,Mrakiaceae sp. VS III B KN 2,VS III B KN 2,PRJNA644637,2778097,dikarya,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,,Mrakiaceae sp. VS III B KN 2,fICW40
GCA_015501055.1_Oudmuc1,Mucidula mucida,CBS 558.79,PRJNA410308,139077,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Physalacriaceae,Mucidula,Mucidula mucida,fCPB85
GCA_000950595.1_ASM95059v1,Mucor ambiguus,NBRC 6742,PRJDB3023,91626,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor ambiguus,fFUN1221
GCA_037974945.1_ASM3797494v1,Mucor circinelloides,FMV-FR1,PRJNA1065632,36080,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor circinelloides,fVVF18
GCA_040367835.1_Mfluvus_1.0,Mucor flavus,KT1a,PRJDB17581,439312,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor flavus,fLEED
GCA_000697295.1_MucIndB7402-1.0,Mucor indicus B7402,B7402,PRJNA211904,1357679,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor indicus,fN157
GCA_000587855.1_B50,Mucor irregularis B50,B50,PRJNA232510,1290454,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor irregularis,fY926
GCA_040256725.1_ASM4025672v1,Mucor lusitanicus,CBS 277.49,PRJNA1080705,29924,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor lusitanicus,fV8B55
GCF_025094135.1_Mucmuc1,Mucor mucedo,NRRL 3635,PRJNA519267,29922,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor mucedo,fEV154
GCA_943193625.1_gzMucPiri1.1,Mucor piriformis,,PRJEB52585;PRJEB53003,105697,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor piriformis,fHMPREF8577
GCA_016758945.1_ASM1675894v1,Mucor plumbeus,CBS 226.32,PRJNA668042,97098,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor plumbeus,fJSY10
GCA_027405735.1_ASM2740573v1,Mucor racemosus,C,PRJNA896268,4841,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor racemosus,fONE40
GCA_016758985.1_ASM1675898v1,Mucor saturninus,WA0000017839,PRJNA668042,64648,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor saturninus,fJSY10
GCA_037040325.1_ASM3704032v1,Mucor sp. M7501,M7501,PRJNA833221,3092709,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor sp. M7501,fFUN1222
GCA_040807105.1_ASM4080710v1,Mucor sp. PG5414,PG5414,PRJNA833221,3092728,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor sp. PG5414,fFUN1223
GCF_035048745.1_Mvel_NIH1002.PB.canu.pilon.trimmedMito,Mucor velutinosus,NIH1002,PRJNA279868;PRJNA302998,708070,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Mucor,Mucor velutinosus,fATC70
GCA_022496185.1_Muloch1,Multifurca ochricompacta,BPL690,PRJNA369870,376703,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Russulaceae,Multifurca,Multifurca ochricompacta,fB0F90
GCA_029282495.1_Mycalb1,Mycena albidolilacea,CBHHK002,PRJNA460318,1033008,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena albidolilacea,fDFH08
GCA_029233265.1_Mycale1,Mycena alexandri,CBHHK200,PRJNA442839,1745969,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena alexandri,fC8F04
GCA_029282125.1_Mycami1,Mycena amicta,BAPX,PRJNA442836,380012,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena amicta,fC8F01
GCA_029282135.1_Mycbel1,Mycena belliae,CBHHK173m,PRJNA369996,1033014,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena belliae,fB0H15
GCA_029204075.1_Mycrub1,Mycena capillaripes,9286,PRJNA370000,230804,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena capillaripes,fB0H19
GCA_014461115.1_ASM1446111v1,Mycena chlorophos,110903Hualien_Pintung,PRJNA623720,658473,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena chlorophos,fMVEN
GCA_963692855.1_Mycena_citricolor_isolate010_v1,Mycena citricolor,,PRJEB69683,2018698,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena citricolor,fFUN1224
GCA_029281795.1_Myccro1,Mycena crocata,CBHHK184,PRJNA444096,220801,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena crocata,fC8R43
GCA_029281465.1_Mycepi1,Mycena epipterygia,CBHHK145m,PRJNA444097,230806,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena epipterygia,fC8R44
GCA_029281495.1_Mycfil1,Mycena filopes,CBHHK001,PRJNA444099,858877,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena filopes,fC8R46
GCA_029320655.1_Mycflo1,Mycena floridula,CBHHK072,PRJNA443295,1033242,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena floridula,fC8J56
GCA_029289565.1_ASM2928956v1,Mycena galericulata,CBHHK162m,PRJNA369992,71905,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena galericulata,fB0H11
GCA_014925785.1_Mycgal1,Mycena galopus ATCC 62051,ATCC 62051,PRJNA196020,1314675,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena galopus,fK438
GCA_029281435.1_Mychae1,Mycena haematopus,CBHHK189,PRJNA369993,230807,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena haematopus,fB0H12
GCF_014461135.1_ASM1446113v1,Mycena indigotica,171206Taipei,PRJNA623720,2126181,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena indigotica,fMVEN
GCA_014461125.1_ASM1446112v1,Mycena kentingensis (nom. inval.),111111Pingtung,PRJNA623720,1325293,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena kentingensis (nom. inval.),fMVEN
GCA_029289555.1_Myclat1,Mycena latifolia,10383,PRJNA538200,1033247,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena latifolia,fFB451
GCA_029378395.1_Myclep1,Mycena leptocephala,CBHHK5/15,PRJNA369994,230808,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena leptocephala,fB0H13
GCA_029448575.1_Mycmac1,Mycena maculata,CBHHK188m,PRJNA460317,230809,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena maculata,fDFH07
GCA_029378385.1_Mycmet1,Mycena metata,CBHHK182m,PRJNA369997,1033252,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena metata,fB0H16
GCA_029378375.1_Mycoli1,Mycena olivaceomarginata,CBHHK47/15,PRJNA369995,230810,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena olivaceomarginata,fB0H14
GCA_029449255.1_Mycpol1,Mycena polygramma,CBHHK137,PRJNA460316,230801,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena polygramma,fDFH06
GCA_029281405.1_Mycpur1,Mycena pura,9144,PRJNA585713,153505,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena pura,fGGX14
GCA_029282285.1_Mycreb1,Mycena rebaudengoi,CBHHK068,PRJNA443296,1045383,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena rebaudengoi,fC8J57
GCA_029378255.1_Mycros1,Mycena rosella,CBHHK067,PRJNA369998,1033263,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena rosella,fB0H17
GCA_014462675.1_ASM1446267v1,Mycena sanguinolenta,160909Yilan,PRJNA623720,230812,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena sanguinolenta,fMVEN
GCA_029204085.1_Myc59_1,Mycena sp. CBHHK59/15,CBHHK59/15,PRJNA369991,1940295,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena sp. CBHHK59/15,fB0H10
GCA_023547045.1_ASM2354704v1,Mycena sp. WM,WM,PRJNA725593,2831172,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena sp. WM,fKFK13
GCA_014462655.1_ASM1446265v1,Mycena venus,CCC161011,PRJNA623720,2733690,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena venus,fMVEN
GCA_029203975.1_Mycvit1,Mycena vitilis,CBHHK169m,PRJNA444100,1033281,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena vitilis,fC8R47
GCA_029204335.1_Mycvul1,Mycena vulgaris,CBHHK164,PRJNA460319,1033282,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Mycenaceae,Mycena,Mycena vulgaris,fDFH09
GCA_022814195.1_ASM2281419v1,Mycoblastus sanguinarius,T1914,PRJNA795879,312200,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Mycoblastaceae,Mycoblastus,Mycoblastus sanguinarius,fMMC34
GCA_036937075.1_ASM3693707v1,Mycocalia duriaeana,CF-140334,PRJNA930910,2918823,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Nidulariaceae,Mycocalia,Mycocalia duriaeana,fFUN1225
GCA_022701365.1_ASM2270136v1,Mycocentrospora acerina,HS17-4,PRJNA809504,227734,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,,Mycocentrospora,Mycocentrospora acerina,fMKF34
GCA_027575805.1_UCR_MyscNBRC100468_1.0,Mycoemilia scoparia,NBRC 100468,PRJNA654309,417184,fungi,Zoopagomycota,,Kickxellomycetes,,Kickxellales,Kickxellaceae,Mycoemilia,Mycoemilia scoparia,fH4219
GCA_025331125.1_ASM2533112v1,Mycogone perniciosa,MgR1,PRJNA543984,494059,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Hypocreaceae,Mycogone,Mycogone perniciosa,fFFR94
GCA_001297265.1_ASM129726v1,Mycosphaerella arachidis,CALF-13A,PRJNA291633,143450,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella arachidis,fAKK41
GCA_002153405.1_ASM215340v1,Mycosphaerella populi pn0402,pn0402,PRJNA212507,1367537,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella populi,fN223
GCA_002116345.1_ASM211634v1,Mycosphaerella sp. PB-2012b Mex 2-1-2,Mex 2-1-2,PRJNA212509,1367542,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella sp. PB-2012b,fN225
GCA_000504405.2_ASM50440v2,Mycosphaerella sp. Ston1,Ston1,PRJNA212506,333113,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella sp. Ston1,fN222
GCA_002785995.1_ASM278599v1,Mycosphaerelloides madeirae,CBS 112895,PRJNA385672,1873265,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerelloides,Mycosphaerelloides madeirae,fCAV38
GCF_025528875.1_Mycafr1,Mycotypha africana,NRRL 2978,PRJNA332250,64632,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mycotyphaceae,Mycotypha,Mycotypha africana,fBDF20
GCA_018221655.1_ASM1822165v1,Myochromella boudieri,TB01,PRJNA417766,117066,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Lyophyllaceae,Myochromella,Myochromella boudieri,fJYA90
GCA_032988175.1_ASM3298817v1,Myotisia sp. PD_48,PD_48,PRJNA439304,2135911,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,,Myotisia,Myotisia sp. PD_48,fFQN57
GCA_010093895.1_Myrdu1,Myriangium duriaei CBS 260.36,CBS 260.36,PRJNA196043,1168546,dikarya,Ascomycota,,Dothideomycetes,,Myriangiales,Myriangiaceae,Myriangium,Myriangium duriaei,fK461
GCA_002162495.1_ASM216249v1,Myriosclerotinia curreyana,LMK 759,PRJNA277973,87228,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Myriosclerotinia,Myriosclerotinia curreyana,fWN38
GCA_002162615.1_ASM216261v1,Myriosclerotinia duriaeana,LMK 746,PRJNA277973,108355,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Myriosclerotinia,Myriosclerotinia duriaeana,fWN38
GCA_002162505.1_ASM216250v1,Myriosclerotinia scirpicola,LMK 735,PRJNA277973,38443,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Myriosclerotinia,Myriosclerotinia scirpicola,fWN38
GCA_902810775.1_MySu01_mitochondrial,Myriosclerotinia sulcatula,MySu01,PRJEB36718,2714548,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Sclerotiniaceae,Myriosclerotinia,Myriosclerotinia sulcatula,fFUN1226
GCA_019775845.1_ASM1977584v1,Myrmaecium sp. VS I D KN 1,VS I D KN 1,PRJNA644637,2791105,dikarya,Ascomycota,,Dothideomycetes,,Valsariales,Valsariaceae,Myrmaecium,Myrmaecium sp. VS I D KN 1,fICW40
GCF_010093595.1_Mytre1,Mytilinidion resinicola,CBS 304.34,PRJNA334371,574789,dikarya,Ascomycota,,Dothideomycetes,,Mytilinidiales,Mytilinidiaceae,Mytilinidion,Mytilinidion resinicola,fBDZ99
GCA_030571195.1_ASM3057119v1,Myxozyma geophila,NRRL Y-17252,PRJNA736342,54098,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma geophila,fFUN1227
GCA_030568365.1_ASM3056836v1,Myxozyma kluyveri,NRRL Y-17277,PRJNA736342,54099,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma kluyveri,fFUN1228
GCA_030564125.1_ASM3056412v1,Myxozyma lipomycoides,NRRL Y-17253,PRJNA736342,54097,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma lipomycoides,fFUN1229
GCF_037950935.1_Myxme1,Myxozyma melibiosi,Phaff 52-87,PRJNA368365,54550,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma melibiosi,fBZA70
GCA_030568405.1_ASM3056840v1,Myxozyma monticola,NRRL Y-17726,PRJNA736342,54102,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma monticola,fFUN1230
GCA_030571435.1_ASM3057143v1,Myxozyma mucilagina,yHDO354,PRJNA736342,58630,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma mucilagina,fFUN1231
GCA_030570675.1_ASM3057067v1,Myxozyma neglecta,NRRL Y-27508,PRJNA736342,383838,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma neglecta,fFUN1232
GCA_030568295.1_ASM3056829v1,Myxozyma neotropica,NRRL Y-17859,PRJNA736342,54103,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma neotropica,fFUN1233
GCA_030580395.1_ASM3058039v1,Myxozyma nipponensis,NRRL Y-27625,PRJNA736342,383839,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma nipponensis,fFUN1234
GCA_030568315.1_ASM3056831v1,Myxozyma sirexii,NRRL Y-27626,PRJNA736342,383840,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma sirexii,fFUN1235
GCA_030705025.1_ASM3070502v1,Myxozyma udenii,NRRL Y-17387,PRJNA736342,54100,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Lipomycetaceae,Myxozyma,Myxozyma udenii,fFUN1236
